date,new_cases,value
1/22/2020,,
1/23/2020,0,
1/24/2020,1,
1/25/2020,0,
1/26/2020,3,
1/27/2020,0,
1/28/2020,0,0.571
1/29/2020,1,0.714
1/30/2020,0,0.714
1/31/2020,2,0.857
2/1/2020,0,0.857
2/2/2020,0,0.429
2/3/2020,3,0.857
2/4/2020,0,0.857
2/5/2020,0,0.714
2/6/2020,1,0.857
2/7/2020,0,0.571
2/8/2020,0,0.571
2/9/2020,0,0.571
2/10/2020,0,0.143
2/11/2020,1,0.286
2/12/2020,0,0.286
2/13/2020,1,0.286
2/14/2020,0,0.286
2/15/2020,0,0.286
2/16/2020,0,0.286
2/17/2020,0,0.286
2/18/2020,0,0.143
2/19/2020,0,0.143
2/20/2020,0,0
2/21/2020,2,0.286
2/22/2020,0,0.286
2/23/2020,0,0.286
2/24/2020,0,0.286
2/25/2020,0,0.286
2/26/2020,0,0.286
2/27/2020,1,0.429
2/28/2020,0,0.143
2/29/2020,8,1.286
3/1/2020,7,2.286
3/2/2020,23,5.571
3/3/2020,19,8.286
3/4/2020,33,13
3/5/2020,77,23.857
3/6/2020,53,31.429
3/7/2020,166,54
3/8/2020,116,69.571
3/9/2020,75,77
3/10/2020,188,101.143
3/11/2020,365,148.571
3/12/2020,439,200.286
3/13/2020,633,283.143
3/14/2020,759,367.857
3/15/2020,234,384.714
3/16/2020,1467,583.571
3/17/2020,1833,818.571
3/18/2020,2657,1146
3/19/2020,4494,1725.286
3/20/2020,6367,2544.429
3/21/2020,5995,3292.429
3/22/2020,8919,4533.143
3/23/2020,11152,5916.714
3/24/2020,10618,7171.714
3/25/2020,12127,8524.571
3/26/2020,17821,10428.429
3/27/2020,18591,12174.714
3/28/2020,22164,14484.571
3/29/2020,16127,15514.286
3/30/2020,22154,17086
3/31/2020,26381,19337.857
4/1/2020,31175,22059
4/2/2020,32276,24124
4/3/2020,32401,26096.857
4/4/2020,31845,27479.857
4/5/2020,29240,29353.143
4/6/2020,31782,30728.571
4/7/2020,30036,31250.714
4/8/2020,31063,31234.714
4/9/2020,35610,31711
4/10/2020,34283,31979.857
4/11/2020,28924,31562.571
4/12/2020,26308,31143.714
4/13/2020,27143,30481
4/14/2020,28328,30237
4/15/2020,25897,29499
4/16/2020,29638,28645.857
4/17/2020,33107,28477.857
4/18/2020,27329,28250
4/19/2020,25422,28123.429
4/20/2020,30084,28543.571
4/21/2020,26075,28221.714
4/22/2020,29881,28790.857
4/23/2020,31965,29123.286
4/24/2020,31965,28960.143
4/25/2020,30914,29472.286
4/26/2020,25971,29550.714
4/27/2020,24650,28774.429
4/28/2020,24573,28559.857
4/29/2020,26852,28127.143
4/30/2020,29702,27803.857
5/1/2020,34892,28222
5/2/2020,26764,27629.143
5/3/2020,23733,27309.429
5/4/2020,23802,27188.286
5/5/2020,24020,27109.286
5/6/2020,24482,26770.714
5/7/2020,27739,26490.286
5/8/2020,27183,25389
5/9/2020,24454,25059
5/10/2020,18747,24346.714
5/11/2020,19077,23671.714
5/12/2020,23381,23580.429
5/13/2020,20015,22942.286
5/14/2020,25890,22678.143
5/15/2020,24851,22345
